"NPA","CO Code (NXX)","Status","Exchange Area","Province","Company","OCN","Remarks"
204,240,"In Service","Portage La Prairie","MB","Shaw Telecom Inc.","497E",
204,241,"In Service","Southport","MB","Shaw Telecom Inc.","497E",
204,242,"In Service","Manitou","MB","MTS Inc.","8088",
204,243,"In Service","Poplar Point","MB","MTS Inc.","8088",
204,244,"In Service","Poplar River","MB","MTS Inc.","8088",
204,245,"In Service","Pilot Mound","MB","MTS Inc.","991B",
204,246,"In Service","Darlingford","MB","MTS Inc.","8088",
204,247,"In Service","Roblin","MB","MTS Inc.","991B",
204,248,"In Service","Notre Dame de Lourdes","MB","MTS Inc.","8088",
204,249,"In Service","Portage La Prairie","MB","MTS Inc.","991B",
204,250,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,251,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,252,"In Service","Edwin","MB","MTS Inc.","8088",
204,253,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,254,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,255,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,256,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,257,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,258,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,259,"In Service","Winnipeg","MB","TELUS Integrated Communications","2782",
204,260,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,261,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,262,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,263,"In Service","Pine River","MB","MTS Inc.","8088",
204,264,"In Service","Melita","MB","MTS Inc.","991B",
204,265,"In Service","Brokenhead","MB","MTS Inc.","8088",
204,266,"In Service","Beausejour","MB","MTS Inc.","991B",
204,267,"In Service","Oakville","MB","MTS Inc.","8088",
204,268,"In Service","Beausejour","MB","MTS Inc.","8088",
204,269,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,270,"In Service","Lorette","MB","MTS Inc.","991B",
204,271,"In Service","Flin Flon","MB","MTS Inc.","991B",
204,272,"In Service","Winnipeg","MB","GT Group Telecom Services Corp.","8506",
204,273,"Not Available",,,,,"Not available iaw Section 3.7 of CO Code Guidelines: Future Canadian Geographic NPA"
204,274,"In Service","Macdonald","MB","MTS Inc.","8088",
204,275,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,276,"In Service","Pine Dock","MB","MTS Inc.","8088",
204,277,"In Service","Bissett","MB","MTS Inc.","8088",
204,278,"In Service","Inwood","MB","MTS Inc.","8088",
204,279,"In Service","Hecla","MB","MTS Inc.","8088",
204,280,"In Service","Eriksdale","MB","MTS Inc.","991B",
204,281,"In Service","Swan River","MB","MTS Inc.","991B",
204,282,"In Service","Winnipeg","MB","Bell West Inc.","2933",
204,283,"In Service","Winnipeg","MB","Bell West Inc.","2933",
204,284,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,285,"In Service","Winnipeg","MB","Bell West Inc.","2933",
204,286,"In Service","Thicket Portage","MB","MTS Inc.","8088",
204,287,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,288,"In Service","Ilford","MB","MTS Inc.","8088",
204,289,"In Service","Winnipeg","MB","Primus Telecommunications Canada Inc.","201A",
204,290,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,291,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,292,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,293,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,294,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,295,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,296,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,297,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,298,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,299,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,300,"In Service","Steinbach","MB","Provincial Tel Inc.","498E",
204,301,"In Service","Norway House","MB","MTS Inc.","991B",
204,302,"In Service","Ashern","MB","MTS Inc.","991B",
204,303,"In Service","Rivers","MB","MTS Inc.","991B",
204,304,"In Service","Altona","MB","MTS Inc.","991B",
204,305,"In Service","Boissevain","MB","MTS Inc.","991B",
204,306,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,307,"In Service","Thompson","MB","MTS Inc.","991B",
204,308,"In Service","Fisher River","MB","MTS Inc.","991B",
204,309,"In Service","Grand Rapids","MB","MTS Inc.","991B",
204,310,"In Service","7 Digit Service",,"MTS Inc.","8088","7 Digit Service"
204,311,"For Special Use",,,,,"Non-Emergency Municipal Government Services"
204,312,"In Service","Winkler","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,313,"In Service","Roland","MB","Provincial Tel Inc.","498E",
204,314,"In Service","Ashern","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,315,"In Service","Grand Rapids","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,316,"In Service","Souris","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,317,"In Service","Pine Falls","MB","Provincial Tel Inc.","498E",
204,318,"In Service","Winnipeg","MB","GT Group Telecom Services Corp.","8506",
204,319,"In Service","Altona","MB","MTS Inc.","8088",
204,320,"In Service","Steinbach","MB","MTS Inc.","8088",
204,321,"In Service","Steinbach","MB","MTS Inc.","8088",
204,322,"In Service","Warren","MB","MTS Inc.","8088",
204,323,"In Service","Brochet","MB","MTS Inc.","8088",
204,324,"In Service","Altona","MB","MTS Inc.","8088",
204,325,"In Service","Winkler","MB","MTS Inc.","8088",
204,326,"In Service","Steinbach","MB","MTS Inc.","8088",
204,327,"In Service","Gretna","MB","MTS Inc.","8088",
204,328,"In Service","Rivers","MB","MTS Inc.","8088",
204,329,"In Service","Easterville","MB","MTS Inc.","8088",
204,330,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,331,"In Service","Winkler","MB","MTS Inc.","8088",
204,332,"In Service","Winkler","MB","MTS Inc.","991B",
204,333,"In Service","Winnipeg","MB","TELUS Mobility","8303",
204,334,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,335,"In Service","Gods Lake Narrows","MB","MTS Inc.","8088",
204,336,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,337,"In Service","Lac Brochet","MB","MTS Inc.","8088",
204,338,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,339,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,340,"In Service","Lac du Bonnet","MB","MTS Inc.","991B",
204,341,"In Service","York Landing","MB","MTS Inc.","8088",
204,342,"In Service","Split Lake","MB","MTS Inc.","8088",
204,343,"In Service","Roland","MB","MTS Inc.","8088",
204,344,"In Service","Stony Mountain","MB","MTS Inc.","8088",
204,345,"In Service","Lac Du Bonnet","MB","MTS Inc.","8088",
204,346,"In Service","Steinbach","MB","MTS Inc.","8088",
204,347,"In Service","St. Malo","MB","MTS Inc.","8088",
204,348,"In Service","Whitemouth","MB","MTS Inc.","8088",
204,349,"In Service","Falcon Lake","MB","MTS Inc.","8088",
204,350,"In Service","Lac Du Bonnet","MB","Provincial Tel Inc.","498E",
204,351,"In Service","Whitemouth","MB","Provincial Tel Inc.","498E",
204,352,"In Service","Glenella","MB","MTS Inc.","8088",
204,353,"In Service","Elie","MB","MTS Inc.","8088",
204,354,"In Service","Brookdale","MB","MTS Inc.","8088",
204,355,"In Service","Landmark","MB","MTS Inc.","8088",
204,356,"In Service","Lynn Lake","MB","MTS Inc.","8088",
204,357,"In Service","Cormorant","MB","MTS Inc.","8088",
204,358,"In Service","Snow Lake","MB","MTS Inc.","8088",
204,359,"In Service","Norway House","MB","MTS Inc.","8088",
204,360,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,361,"In Service","Winkler","MB","MTS Inc.","991B",
204,362,"In Service","Winkler","MB","MTS Inc.","991B",
204,363,"In Service","Manigotagan","MB","MTS Inc.","8088",
204,364,"In Service","Vidir","MB","MTS Inc.","8088",
204,365,"In Service","Strathclair","MB","MTS Inc.","8088",
204,366,"In Service","Gods River","MB","MTS Inc.","8088",
204,367,"In Service","Pine Falls","MB","MTS Inc.","8088",
204,368,"In Service","Arden","MB","MTS Inc.","8088",
204,369,"In Service","Rennie","MB","MTS Inc.","8088",
204,370,"In Service","Steinbach","MB","MTS Inc.","991B",
204,371,"In Service","Steinbach","MB","MTS Inc.","991B",
204,372,"In Service","Fisher Branch","MB","MTS Inc.","8088",
204,373,"In Service","Emerson","MB","MTS Inc.","8088",
204,374,"In Service","South Indian Lake","MB","MTS Inc.","8088",
204,375,"In Service","Marquette","MB","MTS Inc.","8088",
204,376,"In Service","Arborg","MB","MTS Inc.","8088",
204,377,"In Service","Kleefeld","MB","MTS Inc.","8088",
204,378,"In Service","Riverton","MB","MTS Inc.","8088",
204,379,"In Service","St. Claude","MB","MTS Inc.","8088",
204,380,"In Service","Steinbach","MB","MTS Inc.","991B",
204,381,"In Service","Steinbach","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,382,"In Service","Berens River","MB","MTS Inc.","8088",
204,383,"In Service","Woodlands","MB","MTS Inc.","8088",
204,384,"In Service","Winkler","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,385,"In Service","Gladstone","MB","MTS Inc.","8088",
204,386,"In Service","Plumas","MB","MTS Inc.","8088",
204,387,"In Service","Dominion City","MB","MTS Inc.","8088",
204,388,"In Service","Niverville","MB","MTS Inc.","8088",
204,389,"In Service","Winnipeg Beach","MB","MTS Inc.","8088",
204,390,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,391,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,392,"In Service","Steinbach","MB","MTS Inc.","991B",
204,393,"In Service","Berens River","MB","Provincial Tel Inc.","498E",
204,394,"In Service","Jackhead","MB","MTS Inc.","8088",
204,395,"In Service","Bloodvein","MB","MTS Inc.","8088",
204,396,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,397,"In Service","Little Grand Rapids","MB","MTS Inc.","8088",
204,398,"In Service","Rivers","MB","Provincial Tel Inc.","498E",
204,399,"In Service","Winnipeg","MB","TELUS Mobility","8303",
204,400,"In Service","Portage La Prairie","MB","Iristel Inc.","154E",
204,401,"In Service","Ste. Anne","MB","Provincial Tel Inc.","498E",
204,402,"In Service","Brandon","MB","TELUS Mobility","8303",
204,403,"In Service","Oakbank","MB","TELUS Mobility","8303",
204,404,"In Service","Stonewall","MB","TELUS Mobility","8303",
204,405,"In Service","Sanford","MB","TELUS Mobility","8303",
204,406,"In Service","Selkirk","MB","TELUS Mobility","8303",
204,407,"In Service","Gimli","MB","TELUS Mobility","8303",
204,408,"In Service","Steinbach","MB","TELUS Mobility","8303",
204,409,"In Service","Winnipeg Beach","MB","Provincial Tel Inc.","498E",
204,410,"In Service","Winnipeg","MB","Comwave Networks","160G",
204,411,"For Special Use",,,,,"Directory Assistance"
204,412,"In Service","Rivers","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,413,"In Service","Souris","MB","Provincial Tel Inc.","498E",
204,414,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,415,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,416,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,417,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,418,"In Service","Sanford","MB","LES.NET (1996) Inc.","141F",
204,419,"In Service","Dugald","MB","LES.NET (1996) Inc.","141F",
204,420,"In Service","Selkirk","MB","Provincial Tel Inc.","498E",
204,421,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,422,"In Service","Ste. Anne","MB","MTS Inc.","8088",
204,423,"In Service","Piney","MB","MTS Inc.","8088",
204,424,"In Service","La Broquerie","MB","MTS Inc.","8088",
204,425,"In Service","Vita","MB","MTS Inc.","8088",
204,426,"In Service","Hadashville","MB","MTS Inc.","8088",
204,427,"In Service","Dominion City","MB","MTS Inc.","8088",
204,428,"In Service","Southport","MB","MTS Inc.","8088",
204,429,"In Service","Woodridge","MB","MTS Inc.","8088",
204,430,"In Service","Winnipeg","MB","TELUS Mobility","8303",
204,431,"Not Available",,,,,"Home NPA"
204,432,"In Service","Miami","MB","Provincial Tel Inc.","498E",
204,433,"In Service","St. Pierre","MB","MTS Inc.","8088",
204,434,"In Service","Grunthal","MB","MTS Inc.","8088",
204,435,"In Service","Miami","MB","MTS Inc.","8088",
204,436,"In Service","Elm Creek","MB","MTS Inc.","8088",
204,437,"In Service","Sprague","MB","MTS Inc.","8088",
204,438,"In Service","Petersfield","MB","Provincial Tel Inc.","498E",
204,439,"In Service","Grunthal","MB","Provincial Tel Inc.","498E",
204,440,"In Service","Boissevain","MB","Fido Solutions Inc.","5643",
204,441,"In Service","Brandon","MB","TELUS Mobility","8303",
204,442,"In Service","Gimli","MB","Fido Solutions Inc.","5643",
204,443,"In Service","Oakbank","MB","Provincial Tel Inc.","498E",
204,444,"In Service","Oakbank","MB","MTS Inc.","8088",
204,445,"In Service","Langruth","MB","MTS Inc.","8088",
204,446,"In Service","Oakbank","MB","LES.NET (1996) Inc.","141F",
204,447,"In Service","Ste. Rose du Lac","MB","MTS Inc.","8088",
204,448,"In Service","Eddystone","MB","MTS Inc.","8088",
204,449,"In Service","Steep Rock","MB","MTS Inc.","8088",
204,450,"In Service","St. Theresa Point","MB","MTS Inc.","991B",
204,451,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,452,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,453,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,454,"In Service","Stonewall","MB","LES.NET (1996) Inc.","141F",
204,455,"In Service","Brandon","MB","MTS Inc.","991B",
204,456,"In Service","Garden Hill","MB","MTS Inc.","8088",
204,457,"In Service","Waasagomach","MB","MTS Inc.","8088",
204,458,"In Service","Pikwitonei","MB","MTS Inc.","8088",
204,459,"In Service","Lac Du Bonnet","MB","Fido Solutions Inc.","5643",
204,460,"Not Available",,,,,"Not available iaw Section 3.7 of CO Code Guidelines: Future Canadian Geographic NPA"
204,461,"In Service","Stonewall","MB","MTS Inc.","991B",
204,462,"In Service","St. Theresa Point","MB","MTS Inc.","8088",
204,463,"In Service","Neepawa","MB","Fido Solutions Inc.","5643",
204,464,"In Service","Stonewall","MB","Provincial Tel Inc.","498E",
204,465,"In Service","Roblin","MB","Fido Solutions Inc.","5643",
204,466,"In Service","Sidney","MB","MTS Inc.","8088",
204,467,"In Service","Stonewall","MB","MTS Inc.","8088",
204,468,"In Service","Sherridon","MB","MTS Inc.","8088",
204,469,"In Service","Red Sucker Lake","MB","MTS Inc.","8088",
204,470,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,471,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,472,"In Service","Cranberry Portage","MB","MTS Inc.","8088",
204,473,"In Service","Leaf Rapids","MB","MTS Inc.","8088",
204,474,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,475,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,476,"In Service","Neepawa","MB","MTS Inc.","8088",
204,477,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,478,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,479,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,480,"In Service","Winnipeg","MB","GT Group Telecom Services Corp.","8506",
204,481,"In Service","Selkirk","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,482,"In Service","Selkirk","MB","MTS Inc.","8088",
204,483,"In Service","Souris","MB","MTS Inc.","8088",
204,484,"In Service","Nelson House","MB","MTS Inc.","8088",
204,485,"In Service","Selkirk","MB","MTS Inc.","991B",
204,486,"In Service","Sundance","MB","MTS Inc.","8088",
204,487,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,488,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,489,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,490,"In Service","Stonewall","MB","Fido Solutions Inc.","5643",
204,491,"In Service","Virden","MB","Fido Solutions Inc.","5643",
204,492,"In Service","Selkirk","MB","MTS Inc.","991B",
204,493,"In Service","Winkler","MB","Fido Solutions Inc.","5643",
204,494,"In Service","Arborg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,495,"In Service","Beausejour","MB","Fido Solutions Inc.","5643",
204,496,"In Service","Ochre River","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,497,"In Service","Carman","MB","Fido Solutions Inc.","5643",
204,498,"In Service","Selkirk","MB","LES.NET (1996) Inc.","141F",
204,499,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,500,"In Service","Winnipeg","MB","Iristel Inc.","154E",
204,501,"In Service","Morden","MB","LES.NET (1996) Inc.","141F",
204,502,"In Service","Winkler","MB","LES.NET (1996) Inc.","141F",
204,503,"In Service","Niverville","MB","LES.NET (1996) Inc.","141F",
204,504,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,505,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,506,"In Service","Oakbank","MB","TELUS Integrated Communications","2782",
204,507,"In Service","Stonewall","MB","TELUS Integrated Communications","2782",
204,508,"In Service","Sanford","MB","TELUS Integrated Communications","2782",
204,509,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,510,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,511,"For Special Use",,,,,"Weather and Traveller Information Services"
204,512,"In Service","Virden","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,513,"In Service","Stonewall","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,514,"In Service","Winnipeg","MB","Distributel","081E",
204,515,"In Service","Winnipeg","MB","Distributel","081E",
204,516,"In Service","Macgregor","MB","TELUS Integrated Communications","2782",
204,517,"In Service","Libau","MB","TELUS Integrated Communications","2782",
204,518,"In Service","Swan River","MB","MTS Inc.","8088",
204,519,"In Service","Gimli","MB","TELUS Integrated Communications","2782",
204,520,"In Service","Brandon","MB","TELUS Integrated Communications","2782",
204,521,"In Service","Portage La Prairie","MB","TELUS Integrated Communications","2782",
204,522,"In Service","Melita","MB","MTS Inc.","8088",
204,523,"In Service","Killarney","MB","MTS Inc.","8088",
204,524,"In Service","Camperville","MB","MTS Inc.","8088",
204,525,"In Service","Minitonas","MB","MTS Inc.","8088",
204,526,"In Service","Holland","MB","MTS Inc.","8088",
204,527,"In Service","Selkirk","MB","TELUS Integrated Communications","2782",
204,528,"In Service","Ninette","MB","MTS Inc.","8088",
204,529,"In Service","Cartwright","MB","MTS Inc.","8088",
204,530,"In Service","Stony Mountain","MB","TELUS Integrated Communications","2782",
204,531,"In Service","Winkler","MB","Provincial Tel Inc.","498E",
204,532,"In Service","Binscarth","MB","MTS Inc.","8088",
204,533,"In Service","Boissevain","MB","Provincial Tel Inc.","498E",
204,534,"In Service","Boissevain","MB","MTS Inc.","8088",
204,535,"In Service","Baldur","MB","MTS Inc.","8088",
204,536,"In Service","Belmont","MB","Provincial Tel Inc.","498E",
204,537,"In Service","Belmont","MB","MTS Inc.","8088",
204,538,"In Service","Oxford House","MB","MTS Inc.","8088",
204,539,"In Service","Benito","MB","MTS Inc.","8088",
204,540,"In Service","Niverville","MB","TELUS Integrated Communications","2782",
204,541,"In Service","Oakbank","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,542,"In Service","Winkler","MB","TELUS Integrated Communications","2782",
204,543,"In Service","Steinbach","MB","TELUS Integrated Communications","2782",
204,544,"In Service","Niverville","MB","Provincial Tel Inc.","498E",
204,545,"In Service","Mafeking","MB","MTS Inc.","8088",
204,546,"In Service","Grandview","MB","MTS Inc.","8088",
204,547,"In Service","Dauphin","MB","MTS Inc.","8088",
204,548,"In Service","Gilbert Plains","MB","MTS Inc.","8088",
204,549,"In Service","Selkirk","MB","MTS Inc.","8088",
204,550,"In Service","Thompson","MB","MTS Inc.","8088",
204,551,"In Service","Melita","MB","MTS Inc.","8088",
204,552,"In Service","Boissevain","MB","Westman Media Cooperative Ltd","120F",
204,553,"In Service","Pukatawagan","MB","MTS Inc.","8088",
204,554,"In Service","Killarney","MB","Westman Media Cooperative Ltd","120F",
204,555,"For Special Use",,,,,"Universal Information"
204,556,"In Service","Cromer","MB","MTS Inc.","8088",
204,557,"In Service","Winnipeg","MB","TELUS Mobility","8303",
204,558,"In Service","Winnipeg","MB","TELUS Mobility","8303",
204,559,"In Service","Shoal Lake","MB","Provincial Tel Inc.","498E",
204,560,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,561,"In Service","Morris","MB","MTS Inc.","8088",
204,562,"In Service","Crandall","MB","MTS Inc.","8088",
204,563,"In Service","Inglis","MB","Provincial Tel Inc.","498E",
204,564,"In Service","Inglis","MB","MTS Inc.","8088",
204,565,"In Service","Shamattawa","MB","MTS Inc.","8088",
204,566,"In Service","Oak River","MB","MTS Inc.","8088",
204,567,"In Service","Miniota","MB","MTS Inc.","8088",
204,568,"In Service","Beulah","MB","MTS Inc.","8088",
204,569,"In Service","Cowan","MB","MTS Inc.","8088",
204,570,"In Service","Brandon","MB","MTS Inc.","991B",
204,571,"In Service","Brandon","MB","MTS Inc.","8088",
204,572,"In Service","Dauphin","MB","MTS Inc.","991B",
204,573,"In Service","Brandon","MB","MTS Inc.","991B",
204,574,"In Service","Brandon","MB","MTS Inc.","991B",
204,575,"In Service","Sandy Lake","MB","Provincial Tel Inc.","498E",
204,576,"In Service","Melita","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,577,"In Service","Reston","MB","Provincial Tel Inc.","498E",
204,578,"In Service","Brandon","MB","MTS Inc.","8088",
204,579,"In Service","Brandon","MB","MTS Inc.","8088",
204,580,"In Service","Brandon","MB","Provincial Tel Inc.","498E",
204,581,"In Service","Brandon","MB","LES.NET (1996) Inc.","141F",
204,582,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,583,"In Service","Winnipeg","MB","Bell Mobility","6574",
204,584,"Not Available",,,,,"Home NPA"
204,585,"In Service","Sandy Lake","MB","MTS Inc.","8088",
204,586,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,587,"In Service","Pelican Rapids","MB","MTS Inc.","8088",
204,588,"In Service","Winnipeg","MB","TELUS Mobility","8303",
204,589,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,590,"In Service","Winnipeg","MB","Bell Mobility","6574",
204,591,"In Service","Melita","MB","Fido Solutions Inc.","5643",
204,592,"In Service","Dauphin","MB","Fido Solutions Inc.","5643",
204,593,"In Service","Swan River","MB","Fido Solutions Inc.","5643",
204,594,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,595,"In Service","Portage La Prairie","MB","TELUS Mobility","8303",
204,596,"In Service","Brandon","MB","TELUS Mobility","8303",
204,597,"In Service","Elie","MB","Shaw Telecom Inc.","497E",
204,598,"In Service","St. Pierre","MB","MTS Inc.","8088",
204,599,"In Service","Winnipeg","MB","Bell Mobility","6574",
204,600,"In Service","Killarney","MB","Provincial Tel Inc.","498E",
204,601,"In Service","Anola","MB","LES.NET (1996) Inc.","141F",
204,602,"In Service","Gladstone","MB","LES.NET (1996) Inc.","141F",
204,603,"In Service","Elie","MB","LES.NET (1996) Inc.","141F",
204,604,"In Service","Southport","MB","LES.NET (1996) Inc.","141F",
204,605,"In Service","Macgregor","MB","LES.NET (1996) Inc.","141F",
204,606,"In Service","Oakbank","MB","Comwave Networks","160G",
204,607,"In Service","Amaranth","MB","LES.NET (1996) Inc.","141F",
204,608,"In Service","Treherne","MB","LES.NET (1996) Inc.","141F",
204,609,"In Service","St. Claude","MB","LES.NET (1996) Inc.","141F",
204,610,"Moratorium on Assignment",,,,,
204,611,"For Special Use",,,,,"Repair Service"
204,612,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,613,"In Service","Ste. Rose du Lac","MB","Westman Media Cooperative Ltd","120F",
204,614,"In Service","Swan River","MB","Westman Media Cooperative Ltd","120F",
204,615,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,616,"In Service","Hartney","MB","Provincial Tel Inc.","498E",
204,617,"In Service","The Pas","MB","MTS Inc.","991B",
204,618,"In Service","Eddystone","MB","MTS Inc.","991B",
204,619,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,620,"In Service","The Pas","MB","MTS Inc.","991B",
204,621,"In Service","Dauphin","MB","MTS Inc.","991B",
204,622,"In Service","Dauphin","MB","MTS Inc.","8088",
204,623,"In Service","The Pas","MB","MTS Inc.","8088",
204,624,"In Service","Clearwater Lake","MB","MTS Inc.","8088",
204,625,"In Service","Elphinstone","MB","MTS Inc.","8088",
